Datetime,Open,High,Low,Close,Volume
1628619720.0,1.57315,1.571057,1.573705,1.571057,11096.37453671
1628619780.0,1.57219,1.571885,1.572403,1.571885,327.94114684
1628619840.0,1.571967,1.57637,1.57637,1.571967,4647.27881339
1628619900.0,1.576338,1.57393,1.576418,1.573649,74896.09736103
1628619960.0,1.573726,1.573083,1.575167,1.573083,16956.56673037
1628620020.0,1.573083,1.571959,1.574305,1.571959,6697.16545926
1628620080.0,1.571202,1.57062,1.571928,1.569201,13658.24045919
1628620140.0,1.569803,1.571,1.571,1.569803,12124.55918515
1628620200.0,1.572257,1.5751,1.5751,1.572257,7326.30361868
1628620260.0,1.574611,1.57709,1.57709,1.574611,34565.78379625
1628620320.0,1.577093,1.576206,1.577697,1.57617,184111.09956636
1628620380.0,1.576171,1.574914,1.576171,1.57377,6051.84102532
1628620440.0,1.576455,1.573946,1.576455,1.573946,74677.85230281
1628620500.0,1.574807,1.575666,1.575666,1.574807,10529.13474095
1628620560.0,1.575656,1.576035,1.576035,1.575656,5301.32097484
1628620620.0,1.575677,1.575868,1.576072,1.574658,11542.09577461
1628620680.0,1.575576,1.576354,1.57676,1.575576,3371.91257029
1628620740.0,1.576381,1.57486,1.576381,1.573951,3269.87154571
1628620800.0,1.575036,1.575261,1.575261,1.574615,2741.7408
1628620860.0,1.574612,1.574993,1.575113,1.574612,1549.5581
1628620920.0,1.575086,1.577,1.577,1.575022,2397.70307186
1628620980.0,1.577331,1.5815,1.582,1.577331,24839.65890233
1628621040.0,1.581004,1.582871,1.583878,1.580446,22313.44369237
1628621100.0,1.583072,1.5825,1.58445,1.582047,40174.88248059
1628621160.0,1.5825,1.576849,1.5825,1.57646,51777.94333568
1628621220.0,1.577496,1.577279,1.57804,1.576587,2987.63023803
1628621280.0,1.577667,1.581676,1.581831,1.577147,2535.11647529
1628621340.0,1.582631,1.583956,1.586275,1.582631,42415.46785298
1628621400.0,1.583956,1.581294,1.583956,1.580743,3877.30943281
1628621460.0,1.581294,1.581203,1.581944,1.5812,3054.03773922
1628621520.0,1.581203,1.583519,1.583879,1.581203,8221.31298234
1628621580.0,1.583518,1.582884,1.584,1.582832,14763.48847266
1628621640.0,1.583255,1.581644,1.583583,1.581644,7960.5313
1628621700.0,1.582501,1.582849,1.582865,1.581237,13472.05469031
1628621760.0,1.582996,1.58403,1.58429,1.582729,14712.59336824
1628621820.0,1.58451,1.583965,1.58451,1.583715,85170.71488628
1628621880.0,1.583965,1.584,1.584,1.583714,7535.66039607
1628621940.0,1.584,1.584931,1.585026,1.583999,21434.66003753
1628622000.0,1.585,1.583998,1.585,1.583998,13525.4225425
1628622060.0,1.583714,1.581971,1.583715,1.581217,92854.48281185
1628622120.0,1.581971,1.585,1.585,1.581971,15017.72813302
1628622180.0,1.584999,1.5849,1.585656,1.5849,10508.04209717
1628622240.0,1.585019,1.585423,1.585577,1.5849,2544.03592561
1628622300.0,1.585249,1.58525,1.58525,1.585,4894.85058901
1628622360.0,1.58525,1.58525,1.58525,1.5849,1982.02802341
1628622420.0,1.585157,1.584999,1.58525,1.584999,1867.73249168
1628622480.0,1.584997,1.584699,1.585254,1.583745,25870.12201878
1628622540.0,1.583995,1.581616,1.583995,1.581527,1542.9481
1628622600.0,1.582,1.580747,1.582079,1.580747,7394.7778
1628622660.0,1.58047,1.582452,1.583121,1.579712,47858.01721597
1628622720.0,1.581962,1.582186,1.582186,1.580747,3978.35635224
1628622780.0,1.582184,1.582437,1.582753,1.581334,6468.35662536
1628622840.0,1.582,1.581159,1.582,1.57937,4076.3872
1628622900.0,1.580565,1.582141,1.582173,1.580027,5275.20906163
1628622960.0,1.581797,1.582222,1.582231,1.581797,1264.21533547
1628623020.0,1.582395,1.582375,1.582395,1.581152,2575.50162806
1628623080.0,1.582676,1.582676,1.582795,1.582675,1021.47186426
1628623140.0,1.582676,1.583745,1.583796,1.582676,3233.37343838
1628623200.0,1.583999,1.585364,1.585364,1.583701,30534.5467544
1628623260.0,1.584593,1.584814,1.58545,1.584593,2636.52944712
1628623320.0,1.584975,1.581844,1.585523,1.581844,9850.30366669
1628623380.0,1.582168,1.581125,1.582326,1.580129,4084.20537818
1628623440.0,1.581754,1.582453,1.582453,1.581125,1650.27277374
